Date,Status Quo,Optimal Allocation,Budget Cut (-20%),Budget Increase (+20%)
2016-07-01,176.93716172980103,250.15399240802756,157.37400790567588,193.11127115222433
2016-08-01,369.31201297385513,522.1338105939279,328.4788287616097,403.07141574971916
2016-09-01,426.48854150761406,602.9700619778694,379.33360322234046,465.47454235851416
2016-10-01,509.53226348293106,720.3773855353205,453.1955507685417,556.1094240028508
2016-11-01,334.48769004376504,472.8991369465027,297.5048760965447,365.06374566899933
2016-12-01,436.13661635735207,616.6105229139338,387.91493341229733,476.0045631873206
